step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
394,CASH_OUT,2085.96,C43507430,0.0,0.0,C1955514169,775043.93,777129.89,0,0
305,CASH_OUT,124872.99,C228859196,0.0,0.0,C381097797,567325.41,692198.4,0,0
637,CASH_OUT,120827.39,C559076229,0.0,0.0,C1550053777,558922.04,679749.42,0,0
207,CASH_OUT,138495.25,C1092114444,0.0,0.0,C593882688,2157055.83,2295551.07,0,0
260,CASH_OUT,143643.12,C1884598323,0.0,0.0,C1061387035,491429.22,635072.35,0,0
351,CASH_OUT,86055.49,C1165833877,467392.0,381336.51,C301103726,74434.73,160490.22,0,0
275,CASH_OUT,381943.59,C436900434,50312.0,0.0,C2093703169,2236095.61,2618039.2,0,0
17,CASH_OUT,218234.7,C1225772154,528.0,0.0,C384845056,6900.07,396609.1,0,0
9,CASH_OUT,30221.56,C1625114731,0.0,0.0,C173141569,1162333.38,1328089.43,0,0
15,CASH_OUT,185119.23,C2081312336,0.0,0.0,C469552399,23799571.35,24161516.85,0,0
183,CASH_OUT,606824.12,C1505280426,0.0,0.0,C1258126361,2918131.4,3524955.52,0,0
715,CASH_OUT,182282.54,C760722739,69962.0,0.0,C1272141376,287372.62,469655.16,0,0
356,CASH_OUT,125610.71,C1464938687,0.0,0.0,C1569025878,1085387.2,1210997.91,0,0
211,CASH_OUT,81098.08,C1306804064,155082.0,73983.92,C387157025,0.0,81098.08,0,0
356,CASH_OUT,127045.36,C2015608823,0.0,0.0,C812780268,568834.81,695880.17,0,0
376,CASH_OUT,121796.99,C618326233,0.0,0.0,C178445190,786317.66,908114.65,0,0
332,TRANSFER,479012.61,C1118203292,0.0,0.0,C1709348413,3779140.15,4258152.76,0,0
285,CASH_OUT,177453.17,C1282126327,0.0,0.0,C637438738,592739.75,770192.92,0,0
140,CASH_OUT,224513.31,C919122571,11115.0,0.0,C2091989835,0.0,224513.31,0,0
137,CASH_OUT,18724.1,C1865464076,0.0,0.0,C1226819809,32420.8,51144.9,0,0
38,CASH_OUT,207452.7,C2059572204,130557.0,0.0,C751779391,0.0,207452.7,0,0
235,CASH_OUT,179271.5,C870103312,0.0,0.0,C1023165966,2176221.05,2355492.56,0,0
37,CASH_OUT,110954.39,C2139223368,4026.0,0.0,C47846378,529115.16,640069.56,0,0
335,CASH_OUT,94653.5,C1211933235,0.0,0.0,C1334213193,128578.56,223232.06,0,0
235,CASH_OUT,25483.64,C1861556927,0.0,0.0,C337778944,223624.67,249108.31,0,0
165,CASH_OUT,51715.24,C294873782,78855.0,27139.76,C1796277088,157596.92,209312.16,0,0
131,CASH_OUT,329781.81,C1373312911,187137.0,0.0,C2142190318,378739.98,708521.8,0,0
349,CASH_OUT,137019.33,C220009119,0.0,0.0,C1947882242,1277488.74,1414508.07,0,0
686,CASH_OUT,302.63,C927665877,0.0,0.0,C1849697032,36760.16,37062.79,0,0
185,TRANSFER,1014477.24,C414619720,20051.0,0.0,C780635644,548003.06,1562480.3,0,0
17,CASH_OUT,285311.45,C1578083343,49990.0,0.0,C1087762335,368.0,244802.83,0,0
207,TRANSFER,207429.41,C1711638806,0.0,0.0,C1009349872,684169.01,891598.43,0,0
374,CASH_OUT,2128.48,C1524551086,0.0,0.0,C1987244306,953270.83,955399.31,0,0
259,CASH_OUT,74777.19,C350800136,20718.0,0.0,C962491190,757655.43,832432.63,0,0
9,TRANSFER,170985.77,C472497266,0.0,0.0,C360696244,187840.9,0.0,0,0
538,CASH_OUT,45337.7,C1952420945,51369.0,6031.3,C63172851,3605673.69,3651011.39,0,0
305,CASH_OUT,587804.9,C723628806,147357.0,0.0,C669857597,975137.08,1562941.98,0,0
209,CASH_OUT,225315.76,C843962471,11632.0,0.0,C1670445212,992804.55,1218120.31,0,0
229,TRANSFER,863702.88,C205155627,0.0,0.0,C1592054234,2563638.05,3427340.92,0,0
231,TRANSFER,79080.32,C825087065,0.0,0.0,C1050328036,182195.5,261275.81,0,0
140,CASH_OUT,268724.02,C317437987,0.0,0.0,C622305807,818286.21,1087010.23,0,0
133,CASH_OUT,175162.81,C818939856,5789.0,0.0,C2047582482,553058.19,728221.0,0,0
8,CASH_OUT,78091.33,C537568559,0.0,0.0,C1493513506,710750.94,1642701.33,0,0
20,CASH_OUT,4082.33,C860539424,0.0,0.0,C701528565,285132.35,289214.67,0,0
210,TRANSFER,200294.1,C824072274,190251.26,0.0,C1796064354,8684612.62,8884906.72,0,0
303,CASH_OUT,194753.98,C547357912,49135.0,0.0,C545989342,5626.49,200380.47,0,0
44,CASH_OUT,294315.67,C1347607062,51855.0,0.0,C106860681,75548.08,369863.74,0,0
139,CASH_OUT,48542.83,C2058371819,0.0,0.0,C25904026,67797.84,116340.67,0,0
15,CASH_OUT,322698.02,C196236219,0.0,0.0,C213591583,541033.17,863731.19,0,0
254,CASH_OUT,201855.93,C391218080,0.0,0.0,C677044159,316998.78,518854.71,0,0
158,CASH_OUT,266447.37,C609133545,56422.0,0.0,C875308617,128114.57,394561.93,0,0
284,TRANSFER,140851.01,C744148814,213717.87,72866.87,C528735765,801889.66,942740.66,0,0
351,CASH_OUT,190781.21,C2059984939,40320.0,0.0,C1082762748,111502.95,302284.16,0,0
373,CASH_OUT,42391.21,C794762114,51848.0,9456.79,C473606974,0.0,42391.21,0,0
394,CASH_OUT,369061.41,C819415505,140107.0,0.0,C1882430654,669996.69,1039058.1,0,0
11,TRANSFER,484390.54,C1677516203,0.0,0.0,C409060521,2181465.52,2665856.06,0,0
372,TRANSFER,76439.26,C369472805,0.0,0.0,C1904719824,744878.45,821317.72,0,0
350,CASH_OUT,114799.02,C1011764429,68157.0,0.0,C893330904,847497.76,962296.78,0,0
328,CASH_OUT,242403.64,C1883633070,0.0,0.0,C1947882242,1162093.15,1404496.79,0,0
137,TRANSFER,538384.96,C71958194,59766.0,0.0,C1017883826,1774219.63,2312604.6,0,0
278,CASH_OUT,38550.22,C1852394297,9957.0,0.0,C916101507,126678.74,165228.97,0,0
210,CASH_OUT,108548.61,C1684339639,39682.0,0.0,C331989289,2019290.69,2127839.3,0,0
347,TRANSFER,3454369.03,C583624124,0.0,0.0,C2118798961,11722566.69,15176935.72,0,0
206,TRANSFER,569041.71,C1393760750,146140.0,0.0,C630266656,0.0,569041.71,0,0
33,CASH_OUT,33698.22,C710678710,0.0,0.0,C513396693,1686000.77,1719698.99,0,0
205,CASH_OUT,59885.38,C1775286367,0.0,0.0,C1005478043,1063767.9,1123653.27,0,0
281,CASH_OUT,12603.26,C167372900,101201.0,88597.74,C120643788,0.0,12603.26,0,0
285,CASH_OUT,259557.46,C1023883801,0.0,0.0,C904803933,545414.52,804971.98,0,0
354,CASH_OUT,1005.65,C800348657,189.0,0.0,C130745110,430828.17,431833.81,0,0
10,CASH_OUT,356481.11,C1510187526,90313.0,0.0,C1337062880,1312158.67,1668639.79,0,0
590,CASH_OUT,123357.94,C1810642745,0.0,0.0,C20788416,309012.0,432369.94,0,0
186,CASH_OUT,167080.33,C1575682886,50186.0,0.0,C66188977,659290.26,826370.59,0,0
139,CASH_OUT,119174.13,C1802069746,52932.0,0.0,C1726599024,0.0,119174.13,0,0
448,CASH_OUT,123974.06,C560979963,0.0,0.0,C1336041435,152531.18,276505.24,0,0
234,CASH_OUT,163518.51,C459985634,99646.0,0.0,C1517831516,376643.43,540161.94,0,0
236,CASH_OUT,10580.54,C356905453,14687.0,4106.46,C1967433709,0.0,10580.54,0,0
321,CASH_OUT,337664.77,C98865921,0.0,0.0,C1788388430,7644800.42,7982465.19,0,0
225,CASH_OUT,198735.45,C79215224,51480.0,0.0,C1028186925,0.0,198735.45,0,0
379,CASH_OUT,41506.37,C1123367164,0.0,0.0,C349460553,152008.14,193514.51,0,0
305,TRANSFER,10000000.0,C1694903436,20223.0,0.0,C1045022707,656836.06,11723000.5,0,0
34,CASH_OUT,63738.2,C2051150701,888.0,0.0,C1522018848,422988.26,738673.65,0,0
379,CASH_OUT,151162.14,C1869421925,11931.0,0.0,C905734073,262531.24,413693.38,0,0
34,TRANSFER,2593676.64,C5237343,310977.0,0.0,C1921226647,0.0,2593676.64,0,0
179,CASH_OUT,642363.51,C1196826419,11218.0,0.0,C1572350102,4059688.66,4702052.18,0,0
142,CASH_OUT,37418.46,C2062023455,0.0,0.0,C1547590185,3475213.93,3512632.39,0,0
661,CASH_OUT,13507.34,C1267968190,280.0,0.0,C364749936,894044.17,907551.5,0,0
328,CASH_OUT,392127.08,C1476772521,72590.0,0.0,C1828273564,0.0,392127.08,0,0
142,CASH_OUT,27533.43,C1207486715,0.0,0.0,C165019815,2286861.74,2314395.18,0,0
131,CASH_OUT,131162.32,C1145031746,11332.0,0.0,C1935557900,362573.91,493736.22,0,0
330,CASH_OUT,344366.35,C342273678,352614.0,8247.65,C567771157,0.0,344366.35,0,0
357,TRANSFER,550283.93,C1635286722,0.0,0.0,C1196838141,1343988.4,1894272.33,0,0
37,CASH_OUT,25661.65,C130098521,50119.0,24457.35,C584089807,0.0,25661.65,0,0
179,TRANSFER,689242.14,C1832059739,17390.0,0.0,C825685460,0.0,689242.14,0,0
157,CASH_OUT,114944.75,C348213645,10319.46,0.0,C875849745,684091.98,799036.73,0,0
306,CASH_OUT,183747.7,C1212361571,0.0,0.0,C977215771,753566.3,937314.0,0,0
274,CASH_OUT,97710.03,C236786401,1009.0,0.0,C906086620,2030889.98,2128600.01,0,0
335,TRANSFER,579461.68,C746140082,0.0,0.0,C1972937113,1339260.55,1918722.24,0,0
208,CASH_OUT,90903.04,C382728393,0.0,0.0,C276896009,3194993.64,3285896.67,0,0
379,CASH_OUT,87398.75,C704603212,0.0,0.0,C2084172654,179046.9,266445.65,0,0
299,CASH_OUT,34866.06,C104852051,10150.0,0.0,C586458107,1239625.46,1274491.52,0,0
395,CASH_OUT,69289.2,C610020225,0.0,0.0,C1275575697,455804.87,525094.07,0,0
273,TRANSFER,1170596.77,C1965051347,0.0,0.0,C579598086,1422646.45,2593243.22,0,0
518,CASH_OUT,50058.75,C653862314,0.0,0.0,C897728261,14656400.13,14706458.88,0,0
325,CASH_OUT,116379.14,C1999137026,64991.0,0.0,C257132196,595228.81,711607.95,0,0
161,CASH_OUT,61679.19,C1314104007,0.0,0.0,C222607224,665703.24,352761.71,0,0
428,CASH_OUT,116429.31,C293788698,0.0,0.0,C1213165464,459572.55,576001.86,0,0
402,CASH_OUT,95589.71,C1809835035,90142.0,0.0,C1173787771,0.0,95589.71,0,0
138,CASH_OUT,86199.5,C962044821,63834.0,0.0,C1889885890,4071120.7,4157320.2,0,0
326,CASH_OUT,659.36,C605015429,321126.0,320466.64,C1224508512,292963.94,293623.3,0,0
254,CASH_OUT,32009.42,C2118852865,21039.0,0.0,C1905931667,0.0,32009.42,0,0
225,CASH_OUT,300699.66,C1514396074,0.0,0.0,C674394363,699556.1,1000255.76,0,0
11,CASH_OUT,150767.26,C402856552,0.0,0.0,C126129101,6894415.05,7045182.31,0,0
235,CASH_OUT,170252.81,C1380199809,21156.0,0.0,C480782031,119130.41,289383.22,0,0
587,TRANSFER,942201.61,C1039167457,0.0,0.0,C1422700292,947858.32,1890059.93,0,0
136,CASH_OUT,40241.8,C1788129014,0.0,0.0,C2000310537,44848.97,94602.07,0,0
140,CASH_OUT,4132.16,C1256340500,0.0,0.0,C2024080403,2421746.32,2425878.48,0,0
379,TRANSFER,402339.08,C1376837641,0.0,0.0,C791345613,757805.94,1160145.02,0,0
188,CASH_OUT,109727.72,C1761972145,123650.0,13922.28,C2123031230,466402.87,576130.59,0,0
226,CASH_OUT,196452.25,C1156707919,1734.0,0.0,C1165520519,282897.5,479349.75,0,0
403,TRANSFER,502349.02,C920093447,105286.0,0.0,C1053160693,7495.05,509844.07,0,0
186,TRANSFER,597750.24,C793250821,91125.27,0.0,C2095788158,648539.18,1246289.43,0,0
298,CASH_OUT,16798.68,C1774090004,0.0,0.0,C921298719,4575252.09,4653449.29,0,0
168,CASH_OUT,417943.08,C1576572982,21756.0,0.0,C121493858,42554.43,460497.52,0,0
305,CASH_OUT,114093.08,C1917276395,44074.0,0.0,C1894840427,1076270.96,1190364.03,0,0
546,CASH_OUT,331103.83,C593501929,118.0,0.0,C1731493383,3112454.8,3443558.63,0,0
298,CASH_OUT,93797.22,C2104577375,165.0,0.0,C220065931,8664209.12,8758006.34,0,0
14,CASH_OUT,24350.87,C1027992988,40862.0,16511.13,C314583352,35367.0,464787.95,0,0
201,CASH_OUT,303870.13,C1405078599,9933.0,0.0,C1552149527,0.0,303870.13,0,0
132,TRANSFER,537707.94,C930466909,37623.18,0.0,C198874182,1097101.59,1634809.54,0,0
161,TRANSFER,988246.92,C1690146311,11351.0,0.0,C2075845599,761182.37,1749429.29,0,0
252,CASH_OUT,105966.2,C1269230392,0.0,0.0,C1328378996,5171798.93,5277765.14,0,0
230,CASH_OUT,234128.87,C1162286423,0.0,0.0,C1790241838,409994.4,644123.27,0,0
299,CASH_OUT,424823.86,C1925638550,0.0,0.0,C1140617326,764884.51,1189708.36,0,0
300,CASH_OUT,105911.97,C342487479,0.0,0.0,C852893146,206103.22,312015.19,0,0
236,CASH_OUT,274922.85,C731056060,0.0,0.0,C21481493,4764124.69,5039047.54,0,0
179,CASH_OUT,132193.89,C184810067,50321.0,0.0,C1752822379,458301.4,590495.29,0,0
329,CASH_OUT,373102.17,C309677103,7054.0,0.0,C279840511,0.0,373102.17,0,0
240,TRANSFER,277482.97,C361323758,151139.0,0.0,C1560565000,4026612.35,4304095.32,0,0
36,CASH_OUT,200051.01,C935343090,70359.0,0.0,C1368044293,1587892.24,1787943.25,0,0
305,CASH_OUT,36187.02,C1831728065,0.0,0.0,C815280712,3571210.56,3746158.42,0,0
9,CASH_OUT,197672.5,C392937450,0.0,0.0,C1234612952,2580799.14,2778471.64,0,0
398,CASH_OUT,80629.54,C1982608902,90433.0,9803.46,C1717490140,467131.19,547760.73,0,0
564,CASH_OUT,178624.08,C805634223,139732.0,0.0,C1028484075,0.0,178624.08,0,0
209,CASH_OUT,317612.02,C314968122,171.0,0.0,C1174697578,131475.84,449087.86,0,0
204,CASH_OUT,189345.1,C1401882847,0.0,0.0,C704843575,1937904.29,2127249.39,0,0
181,CASH_OUT,244016.38,C629382028,0.0,0.0,C379900172,292333.24,536349.62,0,0
142,CASH_OUT,67073.86,C232982088,11908.0,0.0,C413094609,0.0,67073.86,0,0
347,CASH_OUT,178381.66,C1337863976,21071.0,0.0,C1562738395,0.0,178381.66,0,0
37,CASH_OUT,135804.88,C946071941,21321.0,0.0,C1306321084,0.0,139976.37,0,0
302,CASH_OUT,25707.27,C617418385,0.0,0.0,C522139508,55281.2,80988.46,0,0
321,CASH_OUT,266349.68,C819094776,0.0,0.0,C839664898,1155651.35,1422001.03,0,0
254,CASH_OUT,44674.1,C127612490,0.0,0.0,C1372746295,112084.53,156758.63,0,0
227,TRANSFER,1691582.21,C1031469340,15173.0,0.0,C1449069243,405483.75,2097065.96,0,0
164,CASH_OUT,330144.43,C506038299,0.0,0.0,C2077097385,1134793.63,1464938.06,0,0
35,CASH_OUT,111004.4,C319825483,201436.0,90431.6,C1685965918,1086395.94,1197400.34,0,0
17,TRANSFER,350420.1,C1923498766,0.0,0.0,C1531689751,2695779.24,2930817.79,0,0
208,CASH_OUT,189930.52,C1106705611,4907.0,0.0,C1659341354,0.0,189930.52,0,0
236,CASH_OUT,92135.29,C1951395218,0.0,0.0,C81240413,179923.33,272058.62,0,0
235,CASH_OUT,35468.35,C329200463,50654.0,15185.65,C971559879,143901.9,179370.26,0,0
283,CASH_OUT,90634.0,C538696624,0.0,0.0,C948681025,581076.83,671710.83,0,0
322,CASH_OUT,713512.54,C672050260,0.0,0.0,C404990754,986355.05,1699867.59,0,0
303,TRANSFER,839110.72,C1926722561,116270.0,0.0,C712513739,1193451.72,2032562.44,0,0
187,CASH_OUT,52295.56,C646606592,68978.0,16682.44,C464900403,355287.92,407583.48,0,0
595,CASH_OUT,208217.02,C397047687,102008.0,0.0,C1720614836,0.0,208217.02,0,0
398,CASH_OUT,211341.62,C1789303214,92034.0,0.0,C337643014,376642.1,587983.72,0,0
185,CASH_OUT,100553.55,C707059071,65798.0,0.0,C288330355,46275.65,146829.2,0,0
13,CASH_OUT,141952.97,C2047203643,0.0,0.0,C1208702024,2574303.19,2466824.38,0,0
301,TRANSFER,1330491.55,C1150892653,0.0,0.0,C368087017,1879792.77,3210284.32,0,0
42,CASH_OUT,239974.23,C1885094738,0.0,0.0,C1203778454,301269.4,541243.63,0,0
37,TRANSFER,499516.26,C1619547203,705608.16,206091.9,C935168091,2408358.93,2907875.19,0,0
552,TRANSFER,30938.97,C1759692532,50969.0,20030.03,C1616264150,610226.21,641165.18,0,0
35,CASH_OUT,303041.28,C678861438,0.0,0.0,C680062071,3434459.7,3909217.52,0,0
282,CASH_OUT,9107.75,C387752240,31143.0,22035.25,C1022086807,0.0,9107.75,0,0
10,CASH_OUT,456104.2,C753836290,29.0,0.0,C1195589213,1591877.48,1965587.6,0,0
182,TRANSFER,97310.7,C1375488287,0.0,0.0,C698274069,351361.29,448671.99,0,0
378,CASH_OUT,66327.58,C18324963,228244.87,161917.29,C1968103785,1561360.8,1627688.38,0,0
310,CASH_OUT,224933.18,C139156899,41734.0,0.0,C213965052,0.0,224933.18,0,0
325,CASH_OUT,37842.05,C1648606716,0.0,0.0,C570828375,1010198.47,1048040.52,0,0
378,CASH_OUT,334616.65,C722632268,1694.0,0.0,C1283467477,819531.6,1154148.24,0,0
347,CASH_OUT,59209.17,C1412377390,1578.0,0.0,C1838290374,0.0,59209.17,0,0
378,CASH_OUT,402671.26,C882647643,561.0,0.0,C1554648679,0.0,402671.26,0,0
352,TRANSFER,2832033.01,C734173405,0.0,0.0,C1286237039,6272801.35,9104834.35,0,0
378,CASH_OUT,194125.38,C229945458,0.0,0.0,C1358419066,373406.43,567531.81,0,0
130,CASH_OUT,195566.11,C1205407919,0.0,0.0,C66315714,2504911.74,2700477.85,0,0
287,CASH_OUT,122458.71,C1327637513,181991.0,59532.29,C749969201,828335.63,950794.34,0,0
307,CASH_OUT,251670.05,C1364184991,757.0,0.0,C1039362150,486543.84,738213.89,0,0
17,CASH_OUT,248284.33,C2073158753,413410.56,165126.22,C1758099099,1636627.46,1884911.8,0,0
187,CASH_OUT,266742.61,C1719457606,0.0,0.0,C917239222,1712172.37,1978914.98,0,0
203,CASH_OUT,59817.73,C852718362,51481.0,0.0,C2129363257,6801286.4,6861104.14,0,0
327,TRANSFER,4021371.2,C1764738440,257103.0,0.0,C800350112,130372.4,4151743.6,0,0
38,CASH_OUT,35800.62,C1384931907,41468.0,5667.38,C765879194,0.0,35800.62,0,0
331,CASH_OUT,266691.19,C797643852,471288.07,204596.88,C1024093620,2141044.66,2407735.85,0,0
159,TRANSFER,1184161.95,C1796243302,1021.0,0.0,C1542534326,4367439.09,5551601.04,0,0
178,CASH_OUT,157034.92,C1614262007,0.0,0.0,C348864938,540194.18,697229.1,0,0
399,CASH_OUT,431138.4,C3547172,72377.0,0.0,C12512165,0.0,431138.4,0,0
14,CASH_OUT,71794.99,C834398273,0.0,0.0,C1774579266,1734415.56,1806210.55,0,0
404,CASH_OUT,220899.92,C2031900578,0.0,0.0,C1557430449,766989.75,987889.67,0,0
547,CASH_OUT,101093.75,C1689019131,24821.0,0.0,C121128149,17346.74,118440.49,0,0
35,CASH_OUT,224202.56,C1013981299,115025.0,0.0,C1047966944,2149753.95,2373956.51,0,0
9,TRANSFER,633105.48,C1450527840,4617.0,0.0,C1396297158,30247.92,1090688.32,0,0
451,CASH_OUT,88016.77,C310365407,144094.51,56077.74,C1112720793,1236100.45,1324117.23,0,0
401,TRANSFER,940078.15,C2074346873,12639.0,0.0,C871897547,0.0,940078.15,0,0
330,CASH_OUT,315071.89,C2018871858,29175.0,0.0,C238896115,0.0,315071.89,0,0
211,CASH_OUT,77912.45,C1112730820,10602.0,0.0,C483648335,1041683.26,1119595.71,0,0
187,CASH_OUT,96798.7,C600107485,620491.0,523692.3,C441816853,694929.95,791728.66,0,0
226,TRANSFER,432625.14,C387194888,0.0,0.0,C2076202201,997865.52,1430490.66,0,0
326,TRANSFER,1247592.36,C1678764707,0.0,0.0,C267939889,4709930.25,5957522.61,0,0
397,CASH_OUT,96149.1,C280032091,0.0,0.0,C1800789450,2273465.28,2369614.38,0,0
201,TRANSFER,915973.33,C1851579513,431915.75,0.0,C678845463,3567828.9,4483802.22,0,0
285,CASH_OUT,31602.84,C1325089630,0.0,0.0,C1035769350,378206.75,409809.6,0,0
184,CASH_OUT,154846.2,C1399544717,0.0,0.0,C1741487274,262910.08,417756.28,0,0
370,CASH_OUT,41069.42,C1347417138,137773.0,96703.58,C1001278389,7822.21,48891.63,0,0
18,CASH_OUT,228500.11,C404657939,0.0,0.0,C1363208344,4089212.85,4203432.12,0,0
136,CASH_OUT,162532.42,C1529985067,0.0,0.0,C356190156,1551823.84,1714356.26,0,0
331,CASH_OUT,57564.56,C824694151,108573.04,51008.48,C22280262,475953.51,743740.33,0,0
301,TRANSFER,135623.53,C1876554188,0.0,0.0,C1441064274,867805.47,1003429.0,0,0
249,CASH_OUT,415994.58,C807125765,191.0,0.0,C550521374,0.0,415994.58,0,0
332,CASH_OUT,40046.64,C234974806,0.0,0.0,C751359543,291440.0,331486.64,0,0
404,TRANSFER,12676.42,C220734223,0.0,0.0,C885636258,231637.24,244313.66,0,0
252,CASH_OUT,109892.73,C1825754216,0.0,0.0,C588690260,131906.16,241798.9,0,0
287,CASH_OUT,122565.17,C976738875,0.0,0.0,C1521497349,163207.22,285772.39,0,0
396,CASH_OUT,209969.62,C712029925,44547.0,0.0,C1939032669,3097496.64,3307466.26,0,0
351,CASH_OUT,99379.95,C964319965,31621.0,0.0,C2113599424,3180740.26,3280120.22,0,0
374,CASH_OUT,140928.37,C1792551933,0.0,0.0,C44905369,657319.3,798247.67,0,0
236,CASH_OUT,2124.15,C197848728,5525.0,3400.85,C1810303945,0.0,2124.15,0,0
16,CASH_OUT,123148.2,C1587110139,6505.0,0.0,C877699122,6822.06,313631.28,0,0
408,CASH_OUT,327180.56,C698181302,0.0,0.0,C1795376939,824083.33,1151263.89,0,0
191,CASH_OUT,261734.31,C780524779,0.0,0.0,C1219505943,445490.04,707224.35,0,0
36,CASH_OUT,28577.62,C880111500,10165.0,0.0,C672443234,0.0,28577.62,0,0
161,CASH_OUT,67223.54,C68344372,16266.0,0.0,C1927699929,0.0,67223.54,0,0
590,CASH_OUT,402572.93,C638799175,0.0,0.0,C1179535829,1955611.23,2358184.17,0,0
284,TRANSFER,1865638.75,C1656204157,0.0,0.0,C808904596,7646861.39,9512500.15,0,0
256,CASH_OUT,278524.84,C1707727196,100143.0,0.0,C1275549966,284163.11,562687.95,0,0
19,CASH_OUT,71945.52,C224578081,0.0,0.0,C2136570309,160926.68,38981.68,0,0
354,CASH_OUT,136178.05,C1641667424,0.0,0.0,C2139058647,1658892.03,1795070.08,0,0
514,CASH_OUT,229418.93,C1925263656,0.0,0.0,C958850204,756470.52,985889.46,0,0
380,CASH_OUT,68197.48,C1505950283,0.0,0.0,C594909074,81587.12,149784.6,0,0
483,CASH_OUT,167776.02,C550854341,0.0,0.0,C65377508,907320.49,1075096.51,0,0
350,CASH_OUT,186077.51,C439264459,61576.0,0.0,C670036808,55562.8,241640.31,0,0
307,TRANSFER,147835.01,C797515470,0.0,0.0,C49805338,2051892.1,2199727.12,0,0
209,CASH_OUT,47644.87,C103983501,16668.0,0.0,C1910371854,900382.46,948027.32,0,0
41,CASH_OUT,277766.9,C1720607085,22112.0,0.0,C809526173,0.0,277766.9,0,0
203,CASH_OUT,168436.8,C471565137,0.0,0.0,C936266749,283029.01,451465.8,0,0
283,TRANSFER,528769.41,C1505529974,0.0,0.0,C672244107,750121.24,1278890.65,0,0
141,CASH_OUT,584159.85,C1933533076,0.0,0.0,C328994228,2279938.0,2864097.85,0,0
189,CASH_OUT,191586.8,C795794759,0.0,0.0,C818048483,2608555.73,2800142.54,0,0
38,CASH_OUT,279030.31,C1741354467,52679.0,0.0,C1005806543,292186.78,571217.08,0,0
157,TRANSFER,300061.17,C451348820,18610.0,0.0,C606138206,834215.69,1134276.86,0,0
164,CASH_OUT,222518.11,C1503380731,0.0,0.0,C1754384314,1089493.94,1312012.04,0,0
306,CASH_OUT,444657.99,C623660111,0.0,0.0,C1316026646,2278567.48,2723225.47,0,0
323,CASH_OUT,171424.86,C1626557880,784321.0,612896.14,C1989714639,237416.17,408841.03,0,0
133,CASH_OUT,588461.83,C1304494231,0.0,0.0,C1062500597,2719673.86,3308135.69,0,0
132,CASH_OUT,502952.6,C1240785020,0.0,0.0,C1710214228,2582875.16,3085827.76,0,0
357,TRANSFER,1216578.63,C1468741796,0.0,0.0,C716426986,1363112.72,2579691.35,0,0
284,CASH_OUT,154478.68,C536829913,0.0,0.0,C1384217866,425773.22,580251.9,0,0
36,CASH_OUT,107314.09,C1949931241,0.0,0.0,C1860887594,2089481.09,2319595.0,0,0
42,CASH_OUT,239896.05,C208285872,0.0,0.0,C1558851087,609330.74,951085.91,0,0
265,CASH_OUT,33939.34,C1421348381,104714.13,70774.79,C1372376148,179077.93,213017.27,0,0
162,CASH_OUT,319462.05,C1062940903,102.0,0.0,C552476585,259631.94,579093.99,0,0
189,CASH_OUT,35183.58,C1103015258,337.0,0.0,C2129497164,11874.28,47057.85,0,0
